smiles,dataset,PC1,PC2
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)nn1,JAK2-selective,-2.5371992818244293,-2.826406422671637
Cn1nc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)cc1CO,JAK2-selective,-3.7389445150822773,-1.9768565807868486
Cn1nc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)cc1CN,JAK2-selective,-3.604419654597421,-1.6077185360490729
N#CCC(=O)N1CCC[C@@H](Oc2nc(-c3cnn4ccccc34)nc(OCCO)c2F)C1,JAK2-selective,-3.8073759249556915,0.19480325693623107
N#CCC1(n2ccc(-c3nc(-c4cc5n(n4)CCNC5)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.427926242285244,-1.8628743607173173
N#CCC1(n2ccc(-c3nc(-c4cnn(C5CCNCC5)c4)cc4ncccc34)n2)CN(CC(F)(F)F)C1,JAK2-selective,-3.667588144744625,-1.9756969408401692
N#CCC1(n2ccc(-c3nc(-c4cnn(C5CNC5)c4)cc4ncccc34)n2)CN(CC(F)(F)F)C1,JAK2-selective,-4.268056000491877,-1.5642526519746378
N#CCC1(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)CN(CC(F)(F)F)C1,JAK2-selective,-3.5633816846096282,-1.7262964832572019
N#CCC1(n2ncc(-c3cc(-c4cc5c(cn4)CCN5)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.0387932377291484,-2.1945534281644354
N#CCC1(n2ncc(-c3cc(-c4ccc(C(N)=O)cn4)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.0167216235785244,-0.7093083235017298
N#CCC1(n2ncc(-c3cc(-c4ccc(F)cn4)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.1179752028066727,-1.609553180132356
N#CCC1(n2ncc(-c3cc(-c4ccc(N)nn4)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.860359585190704,-2.0148129316570627
N#CCC1(n2ncc(-c3cc(-c4cn5ccnc5c(N)n4)cc4ncccc34)n2)CC(C#N)C1,JAK2-selective,-3.890848331329139,-2.132695817522775
N#CCN1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)C1,JAK2-selective,-3.4768511786931198,-2.166352138181333
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(N3CCC(N)CC3)c2F)CC1,JAK2-selective,-2.233988837316803,-1.2535734701265642
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(N3CCC(O)CC3)c2F)CC1,JAK2-selective,-2.2198279867973114,-1.361733130189409
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(N3CCNCC3)c2F)CC1,JAK2-selective,-2.666177218140367,-1.49286910798708
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(NCCO)c2F)CC1,JAK2-selective,-3.0329526531864217,-0.004864250047106813
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(OCCO)c2F)CC1,JAK2-selective,-3.1905545663505372,-1.0741284514264107
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(OC[C@@H](O)CO)c2F)CC1,JAK2-selective,-2.910274812909502,-1.0575945452516373
N#CC[C@H]1CC[C@H](Nc2nc(-c3cnn4ccccc34)nc(OC[C@H](O)CO)c2F)CC1,JAK2-selective,-2.910274812909502,-1.0575945452516373
O=C(CO)N1CCC[C@@H](Nc2nc(-c3cnn4ccccc34)nc(-c3cncc(CO)c3)c2F)C1,JAK2-selective,-3.282764487985055,-0.5702660588632759
O=C(CO)N1CCC[C@@H](Nc2nc(-c3cnn4ccccc34)nc(N3CCC(O)CC3)c2F)C1,JAK2-selective,-2.7735021302017278,-0.2999865013375351
O=C(CO)N1CCC[C@@H](Nc2nc(-c3cnn4ccccc34)nc(NCCO)c2F)C1,JAK2-selective,-3.4796611721955446,0.9760892180261265
O=C(CO)N1CCC[C@@H](Oc2nc(-c3cnn4ccccc34)nc(N3CCOCC3)c2F)C1,JAK2-selective,-3.2247731556863406,0.6779874939189136
O=C(CO)N1CCC[C@@H](Oc2nc(-c3cnn4ccccc34)nc(NCCO)c2F)C1,JAK2-selective,-3.5788974628826105,1.8022372354264689
O=C(CO)N1CCC[C@@H](Oc2nc(-c3cnn4ccccc34)nc(OCCO)c2F)C1,JAK2-selective,-4.197337196414022,0.7286809322116847
O=C(NCc1ncccn1)c1cccc([C@@H]2C[C@H]2C(=O)Nc2ccc3cncc(C(F)(F)F)c3c2)c1,JAK2-selective,-4.244163078422812,2.118085123534834
O=C(Nc1ccc2cncc(C(F)(F)F)c2c1)[C@@H]1CC1c1ccc(S(=O)(=O)Nc2ccccn2)cc1,JAK2-selective,-3.260967515218087,1.8685816274391711
O=C(Nc1ccc2cncc(CC(F)(F)F)c2c1)[C@@H]1CC1c1ccc(S(=O)(=O)Nc2ccccn2)cc1,JAK2-selective,-3.6392720531855027,3.2662434933980338
O=C(Nc1ccc2cncc(Cl)c2c1)[C@@H]1CC1c1ccc(S(=O)(=O)Nc2cccnc2)cc1,JAK2-selective,-2.6427244728981836,1.2267973653933386
O=C(Nc1ccc2cnccc2c1)[C@@H]1CC1c1ccc(S(=O)(=O)Nc2ccccn2)cc1,JAK2-selective,-2.6238041595204966,1.5302703195480283
O=C(O)C(Cc1ccccc1)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-3.242814483952655,0.7812911299581932
O=S(=O)(Nc1cccc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)c1)C1CC1,JAK2-selective,-2.877904663606597,0.7764759397218216
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,JAK1-selective,6.543475931969266,2.014813200904003
C#Cc1ccc(C(=O)c2ccc(-c3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,JAK1-selective,-4.41955165664325,-5.246183299012729
C#Cc1ccc(C(=O)c2ccc(CCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,JAK1-selective,-4.365443657512797,-6.003157390796716
C#Cc1ccc(C(=O)c2ccc(COCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,JAK1-selective,-4.664507792918057,-5.717283783697387
C#Cc1ccc(C(=O)c2ccc(OCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,JAK1-selective,-4.389635525753658,-5.746329313700627
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,JAK1-selective,4.3239473061251275,1.0882709140700961
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(C#N)cc3)n2)ccc1F,JAK1-selective,-2.74431282206401,3.7795955061068263
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(C(F)(F)F)cc3)n2)ccc1F,JAK1-selective,-3.022076082854523,4.504857280459736
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(F)cc3)n2)ccc1F,JAK1-selective,-3.129775753767809,4.5612500814881365
C=Cc1cncnc1N(C)[C@H]1C[C@@H](NS(=O)(=O)[C@@H]2CC[C@@H](C#N)C2)C1,JAK1-selective,-3.6020517626818527,1.0455011103984506
CC(=N)/C(=C1\NC=Nc2ccsc21)c1ccc(CC#N)cc1,JAK1-selective,-2.340780116028476,0.08519322413219262
CC(=N)NCc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,JAK1-selective,-4.895482200095919,-4.177206818365062
CC(=O)N1CC(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)C1,JAK1-selective,-4.465052829503817,-2.9377726298884745
CC(=O)N1CC(c2nc3cnc4[nH]ccc4c3n2[C@H]2CC[C@H](CC#N)CC2)C1,JAK1-selective,-3.935269916645467,-5.011360825844638
CC(=O)N1CCC(c2nc3cnc4[nH]ccc4c3n2[C@H]2CC[C@H](CC#N)CC2)CC1,JAK1-selective,-3.834333237206202,-5.46833826184931
CC(=O)N1CCN(C2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)CC1,JAK1-selective,5.206370944865515,0.7077899455897677
CC(=O)N1CCN(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)CC1,JAK1-selective,-4.780299268699402,-2.5801416708224503
CC(=O)NC(C)c1nc2cnc3ccsc3c2n1[C@H]1CC[C@H](CC#N)OC1,JAK1-selective,-3.7808671589017875,-3.656523500145838
CC(=O)NC[C@H]1CC[C@H](n2c([C@@H](C)O)nc3cnc4ccsc4c32)CC1,JAK1-selective,-4.553460914441248,-2.7760376590904055
CC(=O)N[C@@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,JAK1-selective,-5.136889217626645,-5.618803406832323
CC(=O)Nc1ccc(CN2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)cc1,JAK1-selective,4.40789625469594,1.2758393322100954
CC(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,JAK1-selective,6.241198913600743,1.8409499695317382
CC(=O)c1ccc(Nc2nn([C@H]3CC[C@@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,JAK1-selective,6.391110364949074,2.3647238145825558
CC(=O)c1ccc(Nc2nn([C@H]3CC[C@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,JAK1-selective,6.391110364949074,2.3647238145825558
CC(=O)c1cccc(NC(=O)N2CC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)C2)c1,JAK1-selective,3.3472220536438018,1.0098294188043002
CC(C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C(F)(F)F,JAK1-selective,5.225730226644163,1.1561984255529607
CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1C1CCC(CC#N)CC1,JAK1-selective,-4.664273166031204,-5.781519056648578
CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,JAK1-selective,-4.664273166031204,-5.781519056648578
